[02/10/2025 14:11:58] ✅ Grupo: 1 . RIO PRETO CARRETAS - Venda de Caminhões e Carretas | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:42:46] ✅ Grupo: Rw Rosnaldo Caminhoes | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:43:27] ✅ Grupo: Ivan Máquinas 2 | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:44:08] ✅ Grupo: Diamantinoprodrural | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:44:50] ✅ Grupo: CORRETORES BILL GRUPO. | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:46:06] ✅ Grupo: 1 . RIO PRETO CARRETAS - Venda de Caminhões e Carretas | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:46:53] ✅ Grupo: CORRETORES - RIO PRETO CARRETAS - REG. SUL, SUDESTE E CENTROESTE | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:47:35] ✅ Grupo: Compra e vendas de makina | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:48:20] ✅ Grupo: Vendas de Caminhões e Carretas I | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:49:06] ✅ Grupo: Grupo OI X Edmar ES | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:50:04] ✅ Grupo: MF Caminhões e Carretas | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:50:47] ✅ Grupo: Galete vendas caminhões SP | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:51:45] ✅ Grupo: VENDAS DE MÁQUINAS PRODUTOS & NEGÓCIOS MÁQUINAS | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:52:27] ✅ Grupo: AGRO MOVE O BRASIL | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:53:11] ✅ Grupo: Região Rondonópolis | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:54:04] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:54:47] ✅ Grupo: M.CAMINHÔES VENDAS | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:57:19] ✅ Grupo: Mato grosso rural | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:59:00] ✅ Grupo: SÓ REPASSE CAMINHÕES IMPL | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:59:49] ✅ Grupo: Consultoria, Compra, Vendas e Intermediações Caminhões, Máquinas Pesadas, Aeronaves, Fazendas etc | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 10:00:33] ✅ Grupo: agricultura e terraplenag | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 10:02:11] ✅ Grupo: CORRETORES BILL GRUPO. | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 10:26:54] ✅ Grupo: 1 . RIO PRETO CARRETAS - Venda de Caminhões e Carretas | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[03/10/2025 10:27:36] ✅ Grupo: CORRETORES - RIO PRETO CARRETAS - REG. SUL, SUDESTE E CENTROESTE | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[03/10/2025 10:28:16] ✅ Grupo: Compra e vendas de makina | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[03/10/2025 10:28:56] ✅ Grupo: Vendas de Caminhões e Carretas I | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[03/10/2025 10:29:37] ✅ Grupo: Grupo OI X Edmar ES | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[03/10/2025 10:30:27] ✅ Grupo: MF Caminhões e Carretas | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[03/10/2025 10:31:12] ✅ Grupo: Galete vendas caminhões SP | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[03/10/2025 10:32:28] ✅ Grupo: Região Rondonópolis | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[03/10/2025 10:33:21] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[03/10/2025 10:34:03] ✅ Grupo: M.CAMINHÔES VENDAS | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 13:52:10] ✅ Grupo: 1 . RIO PRETO CARRETAS - Venda de Caminhões e Carretas | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 13:53:19] ✅ Grupo: CORRETORES - RIO PRETO CARRETAS - REG. SUL, SUDESTE E CENTROESTE | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 13:54:10] ✅ Grupo: Compra e vendas de makina | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 13:55:17] ✅ Grupo: Vendas de Caminhões e Carretas I | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 13:56:08] ✅ Grupo: Grupo OI X Edmar ES | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 13:56:59] ✅ Grupo: GADU33 máquinas agrícolas e agricultura | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 13:57:45] ✅ Grupo: MF Caminhões e Carretas | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 13:58:39] ✅ Grupo: GRUPO VENDAS. | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 13:59:30] ✅ Grupo: VENDAS DE MÁQUINAS PRODUTOS & NEGÓCIOS MÁQUINAS | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:00:18] ✅ Grupo: AGRO MOVE O BRASIL | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:01:13] ✅ Grupo: Região Rondonópolis | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:02:11] ✅ Grupo: Caminhoes Implementos | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:03:05] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:03:59] ✅ Grupo: M.CAMINHÔES VENDAS | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:04:45] ✅ Grupo: AGRO & NEGÓCIOS | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:05:34] ✅ Grupo: Caminhões&CarretasVENDA | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:06:24] ✅ Grupo: BRASIL CAMINHÕES & MÁQUINAS | ABRO.BR | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:07:10] ✅ Grupo: Agro Paraná | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:08:06] ✅ Grupo: Produtores de Maringá | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:08:58] ✅ Grupo: Sou Produtor Rural 2 | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:09:46] ✅ Grupo: Agropecuária e peti | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:13:17] ✅ Grupo: Retorno Carreta Prancha | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:14:04] ✅ Grupo: Novo grupo Pacheco na rota dos antigos | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:14:51] ✅ Grupo: Marcelo Caminhões De Curitiba | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:15:44] ✅ Grupo: Rw Rosnaldo Caminhoes | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:16:44] ✅ Grupo: Diamantinoprodrural | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[04/10/2025 14:19:03] ✅ Grupo: 1 . RIO PRETO CARRETAS - Venda de Caminhões e Carretas | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:19:57] ✅ Grupo: CORRETORES - RIO PRETO CARRETAS - REG. SUL, SUDESTE E CENTROESTE | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:20:57] ✅ Grupo: Vendas de Caminhões e Carretas I | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:21:49] ✅ Grupo: Grupo OI X Edmar ES | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:22:42] ✅ Grupo: GADU33 máquinas agrícolas e agricultura | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:23:29] ✅ Grupo: MF Caminhões e Carretas | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:24:13] ✅ Grupo: Galete vendas caminhões SP | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:25:05] ✅ Grupo: GRUPO VENDAS. | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:25:54] ✅ Grupo: VENDAS DE MÁQUINAS PRODUTOS & NEGÓCIOS MÁQUINAS | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:26:42] ✅ Grupo: AGRO MOVE O BRASIL | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:27:26] ✅ Grupo: Região Rondonópolis | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:28:13] ✅ Grupo: Caminhoes Implementos | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:29:00] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:29:42] ✅ Grupo: M.CAMINHÔES VENDAS | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:30:26] ✅ Grupo: AGRO & NEGÓCIOS | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:31:10] ✅ Grupo: Caminhões&CarretasVENDA | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:31:57] ✅ Grupo: BRASIL CAMINHÕES & MÁQUINAS | ABRO.BR | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:32:40] ✅ Grupo: Agro Paraná | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:33:35] ✅ Grupo: Produtores de Maringá | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:34:19] ✅ Grupo: Sou Produtor Rural 2 | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:37:24] ✅ Grupo: Consultoria, Compra, Vendas e Intermediações Caminhões, Máquinas Pesadas, Aeronaves, Fazendas etc | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:38:15] ✅ Grupo: Retorno Carreta Prancha | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:39:00] ✅ Grupo: Novo grupo Pacheco na rota dos antigos | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:39:51] ✅ Grupo: Rw Rosnaldo Caminhoes | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:40:31] ✅ Grupo: Ivan Máquinas 2 | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:41:15] ✅ Grupo: Diamantinoprodrural | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[04/10/2025 14:43:26] ✅ Grupo: 1 . RIO PRETO CARRETAS - Venda de Caminhões e Carretas | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:44:32] ✅ Grupo: Compra e vendas de makina | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:45:19] ✅ Grupo: Vendas de Caminhões e Carretas I | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:46:04] ✅ Grupo: Grupo OI X Edmar ES | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:47:03] ✅ Grupo: MF Caminhões e Carretas | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:47:49] ✅ Grupo: Galete vendas caminhões SP | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:48:48] ✅ Grupo: VENDAS DE MÁQUINAS PRODUTOS & NEGÓCIOS MÁQUINAS | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:49:39] ✅ Grupo: AGRO MOVE O BRASIL | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:50:24] ✅ Grupo: Região Rondonópolis | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:51:13] ✅ Grupo: Caminhoes Implementos | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:52:01] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:52:48] ✅ Grupo: M.CAMINHÔES VENDAS | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:53:35] ✅ Grupo: AGRO & NEGÓCIOS | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:54:20] ✅ Grupo: Caminhões&CarretasVENDA | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:55:10] ✅ Grupo: BRASIL CAMINHÕES & MÁQUINAS | ABRO.BR | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:56:04] ✅ Grupo: Brasil Repasse Caminhões | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:56:49] ✅ Grupo: Produtores de Maringá | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:57:33] ✅ Grupo: Sou Produtor Rural 2 | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:58:22] ✅ Grupo: Agropecuária e peti | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 14:59:24] ✅ Grupo: TRIÂNGULO CAMINHÕES & MÁQUINAS | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 15:00:13] ✅ Grupo: Vendas TLS | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 15:01:23] ✅ Grupo: SÓ VEÍCULOS CLASSIFICADOS | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 15:02:23] ✅ Grupo: AGRONEGÓCIO SC | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 15:04:19] ✅ Grupo: Consultoria, Compra, Vendas e Intermediações Caminhões, Máquinas Pesadas, Aeronaves, Fazendas etc | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 15:05:06] ✅ Grupo: agricultura e terraplenag | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[04/10/2025 15:06:09] ✅ Grupo: Novo grupo Pacheco na rota dos antigos | Pasta: fh540 2014 frota 40 unidades | Imagens: 4
[07/10/2025 10:51:24] ✅ Grupo: Fazenda à venda br-230 | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[07/10/2025 10:52:57] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[07/10/2025 10:53:41] ✅ Grupo: CORRETORES BILL GRUPO. | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[07/10/2025 10:54:12] ✅ Grupo: Fazenda à venda br-230 | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[07/10/2025 10:54:39] ✅ Grupo: VENDAS DE FAZENDAS PELO BRASIL | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[07/10/2025 11:03:56] ✅ Grupo: Fazenda à venda br-230 | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[07/10/2025 11:04:31] ✅ Grupo: VENDAS DE FAZENDAS PELO BRASIL | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[07/10/2025 11:05:29] ✅ Grupo: Grupo OI X Edmar ES | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[07/10/2025 11:22:23] ✅ Grupo: Fazenda à venda br-230 | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[07/10/2025 11:22:56] ✅ Grupo: VENDAS DE FAZENDAS PELO BRASIL | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[07/10/2025 11:23:34] ✅ Grupo: Vendas de Caminhões e Carretas I | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[07/10/2025 11:24:25] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[07/10/2025 11:25:25] ✅ Grupo: SÓ VEÍCULOS CLASSIFICADOS | Pasta: carretas vanderleia 11-12-14 | Imagens: 4
[27/10/2025 16:45:08] ✅ Grupo: Consultoria, Compra, Vendas e Intermediações Caminhões, Máquinas Pesadas, Aeronaves, Fazendas etc | Pasta: 1630 ano 95 | Imagens: 5
[27/10/2025 16:45:41] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: 1630 ano 95 | Imagens: 5
[27/10/2025 16:46:09] ✅ Grupo: CORRETORES BILL GRUPO. | Pasta: 1630 ano 95 | Imagens: 5
[27/10/2025 16:47:37] ✅ Grupo: Consultoria, Compra, Vendas e Intermediações Caminhões, Máquinas Pesadas, Aeronaves, Fazendas etc | Pasta: 1630 ano 95 | Imagens: 5
[27/10/2025 16:48:11] ✅ Grupo: MF Caminhões e Carretas | Pasta: 1630 ano 95 | Imagens: 5
[28/10/2025 08:30:51] ✅ Grupo: CORRETORES BILL GRUPO. | Pasta: 1630 ano 95 | Imagens: 5
[28/10/2025 08:31:19] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: 1630 ano 95 | Imagens: 5
[28/10/2025 08:31:51] ✅ Grupo: Consultoria, Compra, Vendas e Intermediações Caminhões, Máquinas Pesadas, Aeronaves, Fazendas etc | Pasta: 1630 ano 95 | Imagens: 5
[28/10/2025 08:32:15] ✅ Grupo: MF Caminhões e Carretas | Pasta: 1630 ano 95 | Imagens: 5
[28/10/2025 08:32:37] ✅ Grupo: CORRETORES BILL GRUPO. | Pasta: 4144 | Imagens: 4
[28/10/2025 08:32:57] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: 4144 | Imagens: 4
[28/10/2025 08:33:26] ✅ Grupo: Consultoria, Compra, Vendas e Intermediações Caminhões, Máquinas Pesadas, Aeronaves, Fazendas etc | Pasta: 4144 | Imagens: 4
[28/10/2025 08:33:49] ✅ Grupo: MF Caminhões e Carretas | Pasta: 4144 | Imagens: 4
[28/10/2025 08:34:15] ✅ Grupo: CORRETORES BILL GRUPO. | Pasta: 4144 basculante 4° eixo cod 0865 | Imagens: 4
[28/10/2025 08:34:39] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: 4144 basculante 4° eixo cod 0865 | Imagens: 4
[28/10/2025 08:35:06] ✅ Grupo: Consultoria, Compra, Vendas e Intermediações Caminhões, Máquinas Pesadas, Aeronaves, Fazendas etc | Pasta: 4144 basculante 4° eixo cod 0865 | Imagens: 4
[28/10/2025 08:35:36] ✅ Grupo: MF Caminhões e Carretas | Pasta: 4144 basculante 4° eixo cod 0865 | Imagens: 4
[28/10/2025 08:35:58] ✅ Grupo: CORRETORES BILL GRUPO. | Pasta: 4448 | Imagens: 4
[28/10/2025 08:36:19] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: 4448 | Imagens: 4
[28/10/2025 08:36:47] ✅ Grupo: Consultoria, Compra, Vendas e Intermediações Caminhões, Máquinas Pesadas, Aeronaves, Fazendas etc | Pasta: 4448 | Imagens: 4
[28/10/2025 08:37:07] ✅ Grupo: MF Caminhões e Carretas | Pasta: 4448 | Imagens: 4
[28/10/2025 08:37:44] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: Bonanza_a_36_1983 _Cód 4450 | Imagens: 4
